,close
787,"[19.696, 19.692]"
788,"[19.692, 19.706]"
789,"[19.706, 19.674]"
790,"[19.674, 19.694]"
791,"[19.694, 19.681]"
792,"[19.681, 19.676]"
793,"[19.676, 19.677]"
794,"[19.677, 19.655]"
795,"[19.655, 19.649]"
796,"[19.649, 19.627]"
797,"[19.627, 19.622]"
798,"[19.622, 19.617]"
799,"[19.617, 19.626]"
800,"[19.626, 19.608]"
801,"[19.608, 19.643]"
802,"[19.643, 19.644]"
803,"[19.644, 19.643]"
804,"[19.643, 19.634]"
805,"[19.634, 19.612]"
806,"[19.612, 19.642]"
807,"[19.642, 19.649]"
808,"[19.649, 19.624]"
809,"[19.624, 19.641]"
810,"[19.641, 19.614]"
811,"[19.614, 19.621]"
812,"[19.621, 19.627]"
813,"[19.627, 19.624]"
814,"[19.624, 19.641]"
815,"[19.641, 19.644]"
816,"[19.644, 19.659]"
817,"[19.659, 19.653]"
818,"[19.653, 19.657]"
819,"[19.657, 19.647]"
820,"[19.647, 19.606]"
821,"[19.606, 19.605]"
822,"[19.605, 19.583]"
823,"[19.583, 19.571]"
824,"[19.571, 19.518]"
825,"[19.518, 19.558]"
826,"[19.558, 19.48]"
827,"[19.48, 19.482]"
828,"[19.482, 19.506]"
829,"[19.506, 19.512]"
830,"[19.512, 19.493]"
831,"[19.493, 19.514]"
832,"[19.514, 19.479]"
833,"[19.479, 19.485]"
834,"[19.485, 19.503]"
835,"[19.503, 19.354]"
836,"[19.354, 19.344]"
837,"[19.344, 19.33]"
838,"[19.33, 19.317]"
839,"[19.317, 19.348]"
840,"[19.348, 19.31]"
841,"[19.31, 19.311]"
842,"[19.311, 19.318]"
843,"[19.318, 19.313]"
844,"[19.313, 19.333]"
845,"[19.333, 19.388]"
846,"[19.388, 19.376]"
847,"[19.376, 19.359]"
848,"[19.359, 19.35]"
849,"[19.35, 19.316]"
850,"[19.316, 19.203]"
851,"[19.203, 19.213]"
852,"[19.213, 19.231]"
853,"[19.231, 19.149]"
854,"[19.149, 19.131]"
855,"[19.131, 19.107]"
856,"[19.107, 19.195]"
857,"[19.195, 19.254]"
858,"[19.254, 19.253]"
859,"[19.253, 19.275]"
860,"[19.275, 19.319]"
861,"[19.319, 19.308]"
862,"[19.308, 19.32]"
863,"[19.32, 19.329]"
864,"[19.329, 19.326]"
865,"[19.326, 19.31]"
866,"[19.31, 19.32]"
867,"[19.32, 19.34]"
868,"[19.34, 19.336]"
869,"[19.336, 19.338]"
870,"[19.338, 19.292]"
871,"[19.292, 19.303]"
872,"[19.303, 19.304]"
873,"[19.304, 19.32]"
874,"[19.32, 19.31]"
875,"[19.31, 19.22]"
876,"[19.22, 19.194]"
877,"[19.194, 19.178]"
878,"[19.178, 19.198]"
879,"[19.198, 19.263]"
880,"[19.263, 19.286]"
881,"[19.286, 19.314]"
882,"[19.314, 19.296]"
883,"[19.296, 19.33]"
884,"[19.33, 19.35]"
885,"[19.35, 19.329]"
886,"[19.329, 19.345]"
887,"[19.345, 19.337]"
888,"[19.337, 19.306]"
889,"[19.306, 19.283]"
890,"[19.283, 19.302]"
891,"[19.302, 19.285]"
